GEOID,BAD CHECKS,BRIBERY,DRIVING UNDER THE INFLUENCE,DRUNKENNESS,EXTORTION,KIDNAPPING,LOITERING,PORNOGRAPHY/OBSCENE MAT,RUNAWAY,SECONDARY CODES,TREA,TRESPASS,CIVIL SIDEWALKS,DRUG OFFENSE,FIRE REPORT,HOMICIDE,HUMAN TRAFFICKING,JUVENILE OFFENSES,LOST PROPERTY,MALICIOUS MISCHIEF,MOTOR VEHICLE THEFT,OFFENCES AGAINST THE FAMILY AND CHILDREN,TRAFFIC COLLISION,TRAFFIC VIOLATION ARREST,VEHICLE IMPOUNDED,VEHICLE MISPLACED,WEAPONS OFFENSE,ARSON,ASSAULT,BURGLARY,DISORDERLY CONDUCT,DRUG/NARCOTIC,EMBEZZLEMENT,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,LARCENY/THEFT,LIQUOR LAWS,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,SEX OFFENSE,STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,TOTAL
06075031201,4.0,6.0,22.0,31.0,6.0,31.0,0.0,0.0,143.0,150.0,0.0,41.0,0.0,0.0,2.0,0.0,0.0,0.0,27.0,60.0,0.0,42.0,3.0,8.0,0.0,1.0,0.0,20.0,1012.0,332.0,34.0,200.0,5.0,8.0,115.0,193.0,0.0,1359.0,16.0,1380.0,880.0,1506.0,18.0,59.0,325.0,61.0,29.0,6.0,350.0,546.0,658.0,262.0,110.0,10070
06075031202,2.0,0.0,8.0,8.0,2.0,15.0,0.0,0.0,173.0,49.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,28.0,1.0,18.0,1.0,3.0,0.0,0.0,0.0,9.0,354.0,160.0,9.0,112.0,1.0,5.0,39.0,63.0,0.0,477.0,1.0,648.0,317.0,593.0,0.0,37.0,183.0,14.0,21.0,4.0,147.0,206.0,400.0,99.0,31.0,4261
06075031301,3.0,2.0,14.0,6.0,4.0,16.0,9.0,0.0,8.0,79.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,37.0,0.0,29.0,2.0,4.0,0.0,0.0,0.0,10.0,468.0,230.0,6.0,92.0,6.0,4.0,48.0,101.0,1.0,799.0,4.0,201.0,484.0,595.0,1.0,38.0,115.0,29.0,11.0,3.0,177.0,274.0,458.0,89.0,46.0,4532
06075031302,4.0,4.0,13.0,14.0,3.0,23.0,14.0,0.0,18.0,109.0,0.0,42.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,58.0,0.0,33.0,2.0,14.0,1.0,0.0,0.0,21.0,732.0,330.0,26.0,391.0,10.0,10.0,65.0,161.0,0.0,1066.0,5.0,283.0,625.0,1228.0,1.0,105.0,195.0,34.0,30.0,5.0,314.0,405.0,509.0,405.0,127.0,7462
06075031400,5.0,6.0,15.0,21.0,3.0,43.0,5.0,0.0,301.0,262.0,0.0,72.0,0.0,0.0,2.0,0.0,0.0,0.0,28.0,76.0,1.0,54.0,3.0,8.0,0.0,0.0,0.0,39.0,1333.0,381.0,41.0,506.0,7.0,10.0,105.0,168.0,1.0,1060.0,9.0,1229.0,922.0,1846.0,0.0,95.0,277.0,70.0,37.0,6.0,460.0,623.0,919.0,492.0,174.0,11725
06075032601,4.0,1.0,24.0,40.0,5.0,16.0,7.0,0.0,2.0,70.0,0.0,43.0,0.0,0.0,3.0,0.0,5.0,0.0,49.0,70.0,1.0,22.0,6.0,15.0,1.0,1.0,0.0,12.0,507.0,327.0,31.0,120.0,10.0,6.0,111.0,187.0,0.0,1077.0,13.0,105.0,862.0,881.0,28.0,32.0,132.0,41.0,28.0,4.0,274.0,457.0,431.0,191.0,62.0,6316
06075032602,4.0,1.0,10.0,6.0,3.0,9.0,0.0,0.0,0.0,30.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,28.0,0.0,25.0,0.0,2.0,0.0,0.0,0.0,9.0,199.0,173.0,11.0,23.0,5.0,2.0,58.0,113.0,1.0,525.0,7.0,127.0,383.0,354.0,22.0,21.0,50.0,19.0,8.0,4.0,129.0,217.0,408.0,36.0,23.0,3075
06075032700,3.0,0.0,12.0,7.0,4.0,12.0,0.0,0.0,5.0,63.0,0.0,18.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,45.0,0.0,18.0,0.0,10.0,0.0,0.0,0.0,12.0,329.0,331.0,33.0,54.0,5.0,5.0,72.0,173.0,0.0,964.0,4.0,134.0,518.0,633.0,9.0,44.0,71.0,35.0,20.0,6.0,230.0,351.0,564.0,70.0,35.0,4916
06075032801,4.0,1.0,21.0,28.0,4.0,19.0,5.0,1.0,6.0,338.0,0.0,41.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,75.0,0.0,33.0,5.0,4.0,0.0,2.0,0.0,13.0,640.0,230.0,62.0,164.0,11.0,5.0,87.0,233.0,1.0,904.0,10.0,240.0,1294.0,926.0,8.0,19.0,93.0,54.0,22.0,6.0,350.0,382.0,333.0,76.0,97.0,6947
06075032802,0.0,0.0,19.0,7.0,1.0,10.0,0.0,0.0,2.0,56.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,39.0,0.0,11.0,1.0,7.0,0.0,1.0,0.0,2.0,299.0,233.0,18.0,75.0,5.0,2.0,80.0,140.0,2.0,660.0,5.0,85.0,422.0,532.0,20.0,30.0,71.0,11.0,14.0,4.0,192.0,252.0,356.0,66.0,20.0,3769
06075032901,8.0,2.0,9.0,11.0,3.0,10.0,1.0,1.0,11.0,52.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,23.0,0.0,18.0,0.0,3.0,0.0,0.0,0.0,10.0,301.0,222.0,25.0,68.0,5.0,1.0,42.0,144.0,2.0,581.0,2.0,158.0,424.0,468.0,11.0,27.0,47.0,12.0,18.0,9.0,181.0,294.0,358.0,48.0,16.0,3667
06075032902,3.0,1.0,6.0,16.0,1.0,9.0,0.0,0.0,2.0,42.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,20.0,0.0,18.0,0.0,2.0,0.0,0.0,0.0,5.0,259.0,199.0,17.0,52.0,5.0,4.0,50.0,122.0,0.0,690.0,3.0,143.0,430.0,362.0,7.0,19.0,56.0,12.0,10.0,5.0,149.0,241.0,275.0,57.0,23.0,3349
06075033000,6.0,3.0,38.0,35.0,13.0,20.0,2.0,0.0,328.0,186.0,1.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,55.0,90.0,0.0,46.0,2.0,14.0,0.0,2.0,0.0,16.0,621.0,443.0,44.0,140.0,5.0,3.0,130.0,294.0,0.0,1401.0,10.0,1986.0,1305.0,1261.0,19.0,62.0,136.0,51.0,32.0,8.0,447.0,546.0,658.0,172.0,68.0,10744
06075033100,3.0,0.0,18.0,7.0,4.0,2.0,0.0,1.0,2.0,41.0,0.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,31.0,0.0,13.0,4.0,16.0,0.0,0.0,0.0,16.0,247.0,288.0,12.0,62.0,8.0,5.0,96.0,179.0,0.0,1269.0,1.0,87.0,514.0,675.0,1.0,31.0,92.0,16.0,20.0,7.0,214.0,303.0,302.0,129.0,21.0,4782
06075033201,7.0,0.0,21.0,62.0,7.0,9.0,7.0,0.0,1.0,121.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,83.0,0.0,11.0,0.0,14.0,0.0,1.0,0.0,7.0,556.0,512.0,53.0,196.0,91.0,6.0,152.0,482.0,1.0,5905.0,47.0,128.0,904.0,1499.0,0.0,29.0,365.0,47.0,83.0,3.0,299.0,426.0,618.0,377.0,60.0,13371
06075033203,0.0,2.0,11.0,23.0,3.0,14.0,0.0,0.0,4.0,82.0,0.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,69.0,0.0,29.0,2.0,13.0,0.0,1.0,0.0,21.0,484.0,432.0,22.0,64.0,4.0,10.0,57.0,126.0,0.0,1244.0,7.0,119.0,472.0,458.0,188.0,49.0,82.0,33.0,12.0,7.0,226.0,383.0,640.0,66.0,43.0,5588
06075033204,2.0,1.0,12.0,20.0,1.0,17.0,0.0,1.0,3.0,70.0,0.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,69.0,0.0,24.0,0.0,12.0,1.0,1.0,0.0,10.0,415.0,505.0,40.0,38.0,3.0,3.0,48.0,146.0,2.0,1147.0,15.0,132.0,466.0,515.0,9.0,26.0,65.0,42.0,12.0,7.0,212.0,374.0,519.0,62.0,27.0,5128
06075035100,2.0,2.0,9.0,10.0,7.0,16.0,1.0,0.0,11.0,75.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,34.0,0.0,40.0,0.0,4.0,0.0,2.0,0.0,13.0,516.0,308.0,26.0,96.0,9.0,6.0,81.0,161.0,0.0,984.0,11.0,200.0,646.0,711.0,15.0,43.0,100.0,35.0,20.0,8.0,271.0,445.0,657.0,97.0,38.0,5754
06075035201,3.0,0.0,12.0,16.0,2.0,13.0,0.0,1.0,4.0,72.0,0.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,37.0,0.0,23.0,1.0,2.0,0.0,0.0,0.0,13.0,413.0,225.0,20.0,84.0,2.0,4.0,57.0,133.0,0.0,866.0,5.0,199.0,599.0,529.0,9.0,35.0,75.0,48.0,17.0,8.0,245.0,330.0,573.0,112.0,44.0,4888
06075035202,1.0,4.0,16.0,60.0,3.0,15.0,1.0,0.0,4.0,94.0,0.0,60.0,0.0,0.0,2.0,0.0,0.0,0.0,23.0,58.0,2.0,27.0,1.0,7.0,1.0,0.0,0.0,13.0,650.0,263.0,43.0,134.0,1.0,7.0,66.0,117.0,1.0,1008.0,22.0,183.0,748.0,772.0,23.0,48.0,110.0,75.0,28.0,8.0,338.0,401.0,488.0,256.0,52.0,6238
06075035300,2.0,1.0,13.0,15.0,9.0,16.0,1.0,0.0,5.0,102.0,0.0,19.0,0.0,0.0,0.0,0.0,12.0,0.0,13.0,43.0,1.0,29.0,1.0,4.0,0.0,0.0,0.0,20.0,516.0,316.0,33.0,91.0,1.0,12.0,86.0,170.0,0.0,992.0,2.0,186.0,736.0,706.0,23.0,32.0,79.0,53.0,21.0,6.0,330.0,481.0,567.0,63.0,62.0,5876
06075035400,0.0,1.0,5.0,19.0,5.0,17.0,0.0,0.0,10.0,71.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,43.0,0.0,24.0,1.0,7.0,0.0,0.0,0.0,12.0,463.0,259.0,31.0,92.0,7.0,6.0,87.0,171.0,1.0,918.0,9.0,243.0,624.0,589.0,10.0,43.0,73.0,39.0,25.0,9.0,274.0,395.0,639.0,127.0,53.0,5453
06075040100,5.0,1.0,43.0,40.0,6.0,9.0,0.0,0.0,0.0,64.0,0.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,60.0,0.0,9.0,2.0,10.0,1.0,1.0,0.0,7.0,521.0,435.0,38.0,108.0,19.0,3.0,91.0,200.0,1.0,1403.0,40.0,107.0,765.0,738.0,1.0,25.0,66.0,31.0,28.0,5.0,307.0,424.0,453.0,122.0,36.0,6300
06075040200,8.0,1.0,42.0,31.0,3.0,10.0,2.0,1.0,4.0,69.0,0.0,29.0,0.0,0.0,2.0,0.0,0.0,0.0,34.0,94.0,0.0,17.0,2.0,10.0,1.0,0.0,0.0,14.0,481.0,443.0,35.0,89.0,16.0,4.0,83.0,209.0,0.0,2203.0,23.0,177.0,977.0,928.0,5.0,44.0,99.0,27.0,33.0,10.0,347.0,513.0,639.0,137.0,22.0,7924
06075042601,5.0,2.0,12.0,11.0,1.0,5.0,0.0,0.0,3.0,59.0,0.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,28.0,0.0,6.0,1.0,5.0,1.0,1.0,0.0,6.0,262.0,271.0,11.0,37.0,8.0,6.0,80.0,140.0,1.0,897.0,2.0,83.0,360.0,421.0,3.0,15.0,44.0,19.0,10.0,4.0,173.0,258.0,300.0,41.0,18.0,3637
06075042602,2.0,1.0,24.0,14.0,3.0,4.0,0.0,0.0,2.0,40.0,0.0,14.0,3.0,0.0,1.0,0.0,0.0,0.0,13.0,35.0,0.0,16.0,5.0,5.0,2.0,0.0,0.0,4.0,284.0,245.0,11.0,30.0,4.0,1.0,52.0,115.0,0.0,801.0,10.0,54.0,422.0,494.0,1.0,40.0,70.0,10.0,22.0,4.0,195.0,252.0,371.0,79.0,21.0,3784
06075042700,3.0,0.0,21.0,21.0,4.0,9.0,0.0,0.0,5.0,136.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,11.0,525.0,321.0,40.0,68.0,9.0,8.0,64.0,172.0,1.0,979.0,9.0,198.0,712.0,614.0,1.0,14.0,77.0,49.0,22.0,12.0,344.0,340.0,377.0,77.0,66.0,5374
06075042800,1.0,0.0,5.0,1.0,0.0,2.0,1.0,0.0,1.0,14.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,21.0,0.0,10.0,0.0,4.0,1.0,0.0,0.0,3.0,66.0,197.0,5.0,10.0,0.0,3.0,31.0,75.0,0.0,521.0,1.0,29.0,261.0,179.0,0.0,30.0,9.0,1.0,8.0,0.0,151.0,135.0,201.0,21.0,9.0,2031
06075045100,3.0,0.0,72.0,29.0,3.0,6.0,0.0,0.0,7.0,58.0,0.0,19.0,1.0,0.0,5.0,0.0,0.0,0.0,67.0,41.0,1.0,23.0,8.0,10.0,1.0,2.0,0.0,14.0,462.0,304.0,21.0,102.0,8.0,9.0,57.0,196.0,1.0,1126.0,17.0,234.0,931.0,1007.0,7.0,36.0,120.0,30.0,17.0,3.0,294.0,401.0,595.0,110.0,46.0,6582
06075045200,1.0,0.0,110.0,32.0,5.0,18.0,0.0,1.0,7.0,100.0,0.0,46.0,2.0,0.0,1.0,0.0,0.0,0.0,44.0,99.0,0.0,31.0,2.0,17.0,4.0,1.0,0.0,17.0,643.0,501.0,23.0,137.0,10.0,5.0,115.0,267.0,1.0,2260.0,11.0,224.0,2260.0,1484.0,5.0,62.0,175.0,38.0,41.0,6.0,437.0,597.0,706.0,282.0,56.0,10906
06075047600,1.0,0.0,65.0,18.0,2.0,10.0,1.0,0.0,2.0,55.0,0.0,20.0,1.0,0.0,2.0,0.0,0.0,0.0,27.0,69.0,0.0,19.0,2.0,82.0,4.0,3.0,0.0,10.0,367.0,307.0,20.0,111.0,11.0,3.0,65.0,199.0,0.0,1325.0,6.0,165.0,850.0,1062.0,7.0,45.0,106.0,24.0,24.0,5.0,286.0,389.0,568.0,134.0,31.0,6515
06075047701,4.0,0.0,51.0,18.0,3.0,6.0,0.0,0.0,4.0,61.0,0.0,17.0,0.0,0.0,3.0,0.0,0.0,0.0,26.0,63.0,0.0,7.0,3.0,9.0,0.0,0.0,0.0,13.0,364.0,258.0,22.0,62.0,4.0,0.0,75.0,139.0,0.0,1214.0,13.0,125.0,638.0,696.0,3.0,29.0,98.0,17.0,25.0,4.0,266.0,340.0,324.0,97.0,37.0,5141
06075047702,0.0,3.0,13.0,5.0,0.0,8.0,0.0,0.0,5.0,32.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,0.0,5.0,1.0,3.0,0.0,0.0,0.0,10.0,195.0,181.0,6.0,33.0,0.0,1.0,37.0,94.0,1.0,436.0,3.0,101.0,338.0,303.0,2.0,37.0,43.0,16.0,9.0,3.0,142.0,183.0,373.0,40.0,22.0,2727
06075047801,1.0,1.0,9.0,11.0,6.0,13.0,4.0,0.0,85.0,112.0,0.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,27.0,0.0,11.0,1.0,1.0,4.0,0.0,0.0,21.0,442.0,224.0,55.0,97.0,5.0,3.0,44.0,138.0,1.0,704.0,11.0,388.0,534.0,460.0,3.0,22.0,80.0,39.0,23.0,3.0,283.0,324.0,401.0,55.0,62.0,4757
06075047802,1.0,1.0,16.0,8.0,4.0,13.0,0.0,0.0,10.0,67.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,25.0,0.0,16.0,1.0,3.0,2.0,0.0,0.0,5.0,257.0,175.0,13.0,37.0,1.0,4.0,31.0,90.0,1.0,600.0,4.0,121.0,442.0,340.0,1.0,27.0,47.0,13.0,6.0,4.0,160.0,212.0,302.0,31.0,24.0,3136
06075047901,3.0,3.0,12.0,21.0,4.0,12.0,0.0,0.0,2.0,85.0,0.0,50.0,0.0,0.0,3.0,1.0,0.0,0.0,34.0,123.0,1.0,36.0,6.0,11.0,3.0,3.0,0.0,20.0,617.0,396.0,35.0,139.0,4.0,6.0,88.0,238.0,1.0,4176.0,6.0,212.0,1016.0,953.0,8.0,80.0,161.0,42.0,58.0,6.0,365.0,492.0,675.0,251.0,57.0,10527
06075047902,0.0,2.0,3.0,5.0,2.0,7.0,0.0,0.0,7.0,52.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,39.0,0.0,29.0,4.0,2.0,2.0,0.0,0.0,3.0,222.0,142.0,13.0,45.0,4.0,3.0,30.0,99.0,1.0,649.0,2.0,109.0,420.0,367.0,1.0,18.0,31.0,16.0,14.0,9.0,159.0,217.0,274.0,66.0,16.0,3110
06075060100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,0.0,8.0,0.0,4.0,3.0,0.0,0.0,1.0,55.0,20.0,10.0,5.0,0.0,0.0,6.0,48.0,0.0,730.0,2.0,18.0,191.0,105.0,1.0,10.0,14.0,6.0,12.0,41.0,39.0,45.0,55.0,26.0,4.0,1516
06075060400,0.0,0.0,33.0,6.0,1.0,7.0,0.0,0.0,0.0,37.0,1.0,32.0,0.0,0.0,2.0,1.0,0.0,0.0,13.0,37.0,1.0,17.0,1.0,9.0,0.0,0.0,0.0,12.0,265.0,120.0,17.0,29.0,2.0,5.0,26.0,157.0,0.0,1818.0,1.0,59.0,489.0,419.0,5.0,39.0,31.0,36.0,17.0,1.0,176.0,201.0,354.0,57.0,39.0,4575
06075060502,0.0,18.0,16.0,27.0,4.0,78.0,3.0,0.0,19.0,507.0,0.0,103.0,0.0,2.0,4.0,0.0,0.0,0.0,13.0,193.0,0.0,112.0,0.0,22.0,1.0,0.0,0.0,71.0,2857.0,778.0,60.0,447.0,9.0,32.0,58.0,95.0,3.0,719.0,5.0,474.0,910.0,2279.0,5.0,206.0,495.0,111.0,56.0,15.0,598.0,1291.0,613.0,779.0,558.0,14661
06075060700,12.0,7.0,49.0,164.0,10.0,40.0,7.0,0.0,5.0,197.0,0.0,340.0,0.0,3.0,8.0,1.0,1.0,0.0,255.0,323.0,0.0,139.0,10.0,64.0,1.0,2.0,2.0,57.0,1745.0,1327.0,207.0,412.0,52.0,18.0,224.0,796.0,0.0,7688.0,97.0,589.0,2912.0,3154.0,32.0,172.0,321.0,93.0,157.0,9.0,999.0,1282.0,1182.0,831.0,164.0,26315
06075061000,1.0,2.0,10.0,93.0,2.0,25.0,0.0,2.0,12.0,119.0,0.0,45.0,0.0,1.0,2.0,0.0,0.0,0.0,25.0,102.0,0.0,45.0,4.0,11.0,4.0,0.0,0.0,55.0,810.0,296.0,74.0,121.0,6.0,18.0,93.0,123.0,0.0,1093.0,5.0,224.0,655.0,1009.0,2.0,208.0,165.0,49.0,34.0,2.0,360.0,401.0,668.0,182.0,103.0,7270
06075061100,11.0,3.0,25.0,50.0,29.0,32.0,7.0,0.0,4.0,151.0,0.0,156.0,0.0,0.0,1.0,0.0,0.0,0.0,121.0,208.0,0.0,62.0,2.0,31.0,0.0,1.0,0.0,38.0,1516.0,1129.0,77.0,234.0,25.0,9.0,197.0,400.0,24.0,4227.0,13.0,292.0,1881.0,1642.0,31.0,54.0,470.0,66.0,84.0,12.0,630.0,987.0,544.0,458.0,122.0,16075
06075061200,8.0,12.0,68.0,118.0,8.0,87.0,34.0,1.0,173.0,412.0,0.0,94.0,0.0,1.0,1.0,0.0,0.0,0.0,27.0,141.0,0.0,56.0,7.0,17.0,8.0,1.0,0.0,69.0,3213.0,593.0,109.0,3054.0,23.0,17.0,252.0,262.0,32.0,1858.0,131.0,3849.0,1690.0,6215.0,9.0,190.0,843.0,125.0,94.0,7.0,1107.0,904.0,1110.0,2238.0,712.0,29991
06075061400,2.0,14.0,23.0,27.0,6.0,69.0,2.0,0.0,24.0,426.0,1.0,252.0,0.0,3.0,11.0,2.0,0.0,0.0,29.0,198.0,0.0,94.0,4.0,3.0,3.0,0.0,0.0,86.0,2445.0,1506.0,77.0,680.0,10.0,31.0,91.0,216.0,1.0,3146.0,12.0,455.0,1192.0,2521.0,8.0,256.0,561.0,98.0,105.0,5.0,855.0,1481.0,1529.0,993.0,443.0,20011
06075061500,27.0,8.0,120.0,299.0,18.0,81.0,118.0,0.0,8.0,380.0,1.0,824.0,3.0,0.0,10.0,2.0,33.0,0.0,665.0,751.0,0.0,129.0,18.0,153.0,7.0,1.0,0.0,103.0,5084.0,3856.0,332.0,741.0,183.0,21.0,705.0,2183.0,2.0,28084.0,36.0,816.0,7975.0,7807.0,499.0,323.0,1611.0,288.0,347.0,34.0,2216.0,3063.0,2720.0,1815.0,380.0,74950
06075980200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,36.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,26.0,14.0,0.0,2.0,0.0,1.0,4.0,16.0,0.0,463.0,0.0,56.0,67.0,33.0,0.0,5.0,1.0,0.0,4.0,0.0,21.0,10.0,34.0,21.0,2.0,834
06075980300,0.0,2.0,151.0,73.0,2.0,19.0,11.0,1.0,6.0,71.0,0.0,46.0,9.0,0.0,8.0,0.0,0.0,0.0,80.0,230.0,2.0,43.0,16.0,58.0,11.0,2.0,0.0,57.0,1113.0,289.0,88.0,2100.0,3.0,9.0,49.0,250.0,0.0,8729.0,48.0,483.0,3099.0,3738.0,2.0,161.0,376.0,89.0,118.0,9.0,661.0,922.0,1230.0,1423.0,183.0,26113
06075980501,0.0,2.0,9.0,1.0,5.0,17.0,5.0,0.0,9.0,68.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,19.0,0.0,3.0,2.0,11.0,0.0,0.0,0.0,54.0,548.0,83.0,12.0,76.0,1.0,10.0,12.0,29.0,0.0,547.0,2.0,114.0,306.0,860.0,1.0,82.0,149.0,53.0,16.0,1.0,203.0,179.0,249.0,50.0,135.0,3961
06075980600,0.0,0.0,2.0,1.0,1.0,9.0,0.0,0.0,2.0,27.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,63.0,0.0,23.0,1.0,2.0,1.0,0.0,0.0,7.0,190.0,92.0,19.0,5.0,3.0,5.0,9.0,24.0,0.0,253.0,0.0,82.0,113.0,167.0,0.0,45.0,40.0,13.0,7.0,0.0,65.0,129.0,96.0,43.0,42.0,1600
06075980900,10.0,8.0,76.0,25.0,3.0,49.0,8.0,0.0,39.0,173.0,0.0,159.0,0.0,2.0,24.0,0.0,0.0,0.0,94.0,356.0,0.0,95.0,21.0,45.0,10.0,0.0,0.0,189.0,2009.0,1380.0,173.0,995.0,95.0,17.0,167.0,252.0,0.0,4502.0,11.0,454.0,1682.0,6774.0,13.0,666.0,598.0,61.0,160.0,5.0,886.0,1189.0,2463.0,1292.0,339.0,27592
